CITY,STATE
.,onbekend
's Gravenmoer,Noord-Brabant
's-Graveland,Noord-Holland
's-Gravendeel,Zuid-Holland
's-Gravenhage,Zuid-Holland
's-Gravenmoerse Vaart,Noord-Brabant
's-Gravenpolder,Zeeland
's-Gravenweg,Zuid-Holland
's-Gravenzande,Zuid-Holland
's-Heer Abtskerke,Zeeland
's-Heer Arendskerke,Zeeland
's-Heer Hendrikskinderen,Zeeland
's-Heerenberg,Gelderland
's-Heerenbroek,Overijssel
's-Heerenhoek,Zeeland
's-Hertogenbosch,Noord-Brabant
's-Molenaarsbuurt,Zuid-Holland
't Bergje,Overijssel
't Buurtje,Noord-Holland
't Coll,Noord-Brabant
't Eind,Noord-Brabant
't Goy,Utrecht
't Haantje,Drenthe
't Haantje,Overijssel
't Haantje,Friesland
't Haantje,Zuid-Holland
't Haantje,Noord-Brabant
't Harde,Gelderland
't Hazeleger,Gelderland
't Heechhout,Friesland
't Heeske,Limburg
't Herselt,Noord-Brabant
't Hoekje,Zeeland
't Hoekske,Noord-Brabant
't Hof,Noord-Brabant
't Hof (?),Gelderland
't Jagertje,Zeeland
't Kip,Gelderland
't Kret,Groningen
't Laar,Gelderland
't Lage van de Weg/weg,Groningen
't Leuken,Limburg
't Loo,Overijssel
't Loo,Gelderland
't Loo Oldebroek,Gelderland
't Marktje,Noord-Brabant
't Noorden,Drenthe
't Oever,Gelderland
't Rolder,Gelderland
't Rooth,Limburg
't Stort,Groningen
't Veen,onbekend
't Veld,Noord-Holland
't Ven,Noord-Brabant
't Ven (?),onbekend
't Villeken,Gelderland
't Vlaandertje,Zeeland
't Vlot,Gelderland
't Vosseneind,Gelderland
't Waar,Groningen
't Winkel,Noord-Brabant
't Woud,Gelderland
't Woudt,Zuid-Holland
't Wytfean,Friesland
't Zand,Noord-Brabant
't Zand,Gelderland
't Zand,Noord-Holland
't Zandstervoorwerk,Groningen
't Zandt,Groningen
(De ?) Vleut,Noord-Brabant
(De) Dingen,Groningen
(De) Haspel,Groningen
(De) Langstraat (?),Zuid-Holland
(De) Laren (?),Noord-Brabant
(De) Schifpot,Groningen
(De) Val (?),Zeeland
