State_long,State_short
Alberta,AB
Abruzzo,ABR
Austrailian Capital T,ACT
Alaska,AK
Alabama,AL
Antwerpen,ANT
Arkansas,AR
Arizona,AZ
Basilicata,BAS
Brandenburg,BB
British Columbia,BC
Berlin,BE
Baden-Wurttemberg,BW
Brussels,BRU
Bavaria,BY
California,CA
Calabria,CAL
Campania,CAM
Colorada,CO
Connecticut,CT
District of Columbia,DC
Delaware,DE
Drenthe,DR
Emila-Romagna,EMI
Flevoland,FLD
Florida,FL
Friesland,FRL
Friuli-Venezia Giulia,FRI
Georgia,GA
Gelderland,GLD
Groningen,GR
Bremen,HB
Hessen,HE
Hamburg,HH
Hawaii,HI
Iowa,IA
Idaho,ID
Ile-de-France,IF
Illinois,IL
Indiana,IN
Kansas,KS
Kentucky,KY
Louisiana,LA
Lazio,LAZ
Limburg,LB
Liguria,LIG
Liege,LIE
Limburg,LIM
Lombardia,LOM
Massachusetts,MA
Marche,MAR
Manitoba,MB
Maryland,MD
Maine,ME
Michigan,MI
Minnesota,MN
Missouri,MO
Molise,MOL
Mississippi,MS
Montana,MT
Mecklenburg-Vorpommern,MV
N.Brabant,N-BR
N.Brabant,N-B
N.Holland,N-H
New Brunswick,NB
N.Carolina,NC
N.Dakota,ND
Nebraska,NE
New Hampshire,NH
Lower Saxony,NI
New Jersey,NJ
Newfoundland,NL
New Mexico,NM
Nova Scotia,NS
New S.Wales,NSW
Northern Territory,NT
Nevada,NV
N.Rhine-Westphalia,NW
New York,NY
Oost-Vlaanderen,OVL
OA,OA
Ohio,OH
Oklahoma,OK
Ontario,ON
Oregon,OR
Overijssel,OV
Pennsylvania,PA
Prince Edward Isle,PE
Piemonte,PIE
Lower Silesia,PLDS
Kuyavia-Pomerania,PLKP
Lubusz,PLLB
Lodz,PLLD
Lublin,PLLU
Lesser Poland,PLMA
Mazovia,PLMZ
Opole,PLOP
Podlaskie,PLPD
Subcarpathia,PLPK
Pomerania,PLPM
Holy Cross,PLSK
Silesia,PLSL
Greater Poland,PLWN
W.Pomerania,PLZP
Puerto Rico,PR
Puglia,PUG
Quebec,QC
Queensland,QLD
Rhode Island,RI
Rhineland-Palatinate,RP
S.Australia,SA
Sardegna,SAR
S.Carolina,SC
S.Dakota,SD
Schleswig-Holstein,SH
Sicilia,SIC
Saskatchewan,SK
Saarland,SL
Saxony,SN
Saxony-Anhalt,ST
Savona,SV
Tasmania,TAS
Thuringia,TH
Tennessee,TN
Toscana,TOS
Trentino-Alto Adige,TRE
Texas,TX
Umbria,UMB
Utah,UT
Utrecht,UTR
Virginia,VA
Valle d-Aosta,VAL
Antwerp,VAN
Vlaams-Brabant,VB
Flemish Brabant,VBR
Veneto,VEN
Victoria,VIC
Limburg,VLI
E.Flanders,VOV
Vermont,VT
W.Flanders,WVL
Washington,WA
Western Australia,WAU
Walloon Brabant,WBR
Hainaut,WHT
Wisconsin,WI
Leige,WLG
Luxembourg,WLX
Namur,WNA
W.Virginia,WV
Wyoming,WY
Yukon,YT
Zeeland,ZE
S.Holland,ZH
Z.Holland,ZH
